epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2253.48,0.52617,0.55926,0.93179,0.89646,0.95429,0.95636,0.77393,0.7241,0.52702,0.94574,4.367e-06,4.367e-06,4.367e-06
99,2270.95,0.52331,0.55856,0.92401,0.89687,0.95429,0.95426,0.77321,0.72823,0.53142,0.94714,3.278e-06,3.278e-06,3.278e-06
100,2288.41,0.52188,0.56381,0.92311,0.89686,0.95271,0.95567,0.77188,0.7254,0.52837,0.94652,2.189e-06,2.189e-06,2.189e-06
1,21.5898,1.07555,5.30915,1.27924,0,0,0,0,0.72219,4.4207,1.03802,3.59748e-05,3.59748e-05,3.59748e-05
2,40.0592,0.91805,4.69292,1.1509,0.10783,0.78693,0.23328,0.1804,0.8305,3.16247,1.08052,7.19224e-05,7.19224e-05,7.19224e-05
3,58.1329,0.91991,3.8315,1.1734,0.48876,0.44345,0.43653,0.33475,0.84935,2.07861,1.11837,0.000107144,0.000107144,0.000107144
4,75.8429,0.86641,3.08403,1.14928,0.67258,0.56255,0.5683,0.45752,0.81112,1.7309,1.10061,0.000106733,0.000106733,0.000106733
5,93.7885,0.89037,2.61214,1.16854,0.7488,0.63462,0.67401,0.54752,0.77096,1.37338,1.05613,0.000105644,0.000105644,0.000105644
6,111.871,0.83743,2.27739,1.12556,0.78156,0.7224,0.7266,0.5939,0.71714,1.20652,1.00814,0.000104555,0.000104555,0.000104555
7,129.547,0.75301,2.04589,1.04046,0.72777,0.70557,0.75272,0.58806,0.80296,1.19745,1.05974,0.000103466,0.000103466,0.000103466
8,147.283,0.76108,1.92667,1.05839,0.86789,0.74856,0.81052,0.65327,0.70069,1.05317,1.00381,0.000102377,0.000102377,0.000102377
9,165.141,0.72779,1.81303,1.05778,0.84378,0.80926,0.84216,0.6795,0.69622,0.96647,0.9973,0.000101288,0.000101288,0.000101288
10,182.782,0.68057,1.61274,1.01973,0.81899,0.77846,0.85308,0.69252,0.66938,0.91601,0.97722,0.000100199,0.000100199,0.000100199
11,200.533,0.67232,1.53585,1.00349,0.91286,0.80427,0.87346,0.72834,0.60732,0.80509,0.94386,9.911e-05,9.911e-05,9.911e-05
12,218.202,0.6792,1.4124,0.99719,0.84822,0.9114,0.92212,0.75304,0.62017,0.81976,0.94445,9.8021e-05,9.8021e-05,9.8021e-05
13,236.109,0.63979,1.37885,0.96747,0.90054,0.84472,0.93614,0.77198,0.61837,0.70806,0.9474,9.6932e-05,9.6932e-05,9.6932e-05
