label,s
yolo_detection,0.026881
yolo_detection,0.024797
yolo_detection,0.026750
yolo_detection,0.024881
yolo_detection,0.026752
yolo_detection,0.027427
yolo_detection,0.025444
yolo_detection,0.027090
yolo_detection,0.026711
yolo_detection,0.026401
yolo_detection,0.030472
yolo_detection,0.027566
yolo_detection,0.027992
yolo_detection,0.027505
yolo_detection,0.026995
yolo_detection,0.026859
yolo_detection,0.026954
yolo_detection,0.026446
yolo_detection,0.026629
yolo_detection,0.024781
yolo_detection,0.024934
yolo_detection,0.026645
yolo_detection,0.026792
yolo_detection,0.026502
yolo_detection,0.026440
yolo_detection,0.024572
yolo_detection,0.026582
yolo_detection,0.028031
yolo_detection,0.026376
yolo_detection,0.026892
yolo_detection,0.026578
yolo_detection,0.026757
yolo_detection,0.027337
yolo_detection,0.028142
yolo_detection,0.026820
yolo_detection,0.026505
yolo_detection,0.027265
yolo_detection,0.027829
yolo_detection,0.026494
yolo_detection,0.027089
yolo_detection,0.028606
yolo_detection,0.026923
yolo_detection,0.026734
yolo_detection,0.027725
yolo_detection,0.026802
yolo_detection,0.026905
yolo_detection,0.027054
yolo_detection,0.027150
yolo_detection,0.027286
yolo_detection,0.026950
yolo_detection,0.026802
yolo_detection,0.026620
yolo_detection,0.026856
yolo_detection,0.026945
yolo_detection,0.026899
yolo_detection,0.027342
yolo_detection,0.027784
yolo_detection,0.027238
yolo_detection,0.026602
yolo_detection,0.027451
yolo_detection,0.027015
yolo_detection,0.027101
yolo_detection,0.027573
yolo_detection,0.026991
yolo_detection,0.026883
yolo_detection,0.027840
yolo_detection,0.028056
yolo_detection,0.027914
yolo_detection,0.027291
yolo_detection,0.028000
yolo_detection,0.027117
yolo_detection,0.027385
yolo_detection,0.027463
yolo_detection,0.027470
yolo_detection,0.028122
yolo_detection,0.027104
yolo_detection,0.027004
yolo_detection,0.027500
yolo_detection,0.027907
yolo_detection,0.027222
yolo_detection,0.027231
yolo_detection,0.026612
yolo_detection,0.027255
yolo_detection,0.027356
yolo_detection,0.026759
yolo_detection,0.027149
yolo_detection,0.027005
yolo_detection,0.026766
yolo_detection,0.027203
yolo_detection,0.027726
yolo_detection,0.024733
yolo_detection,0.026988
yolo_detection,0.027823
yolo_detection,0.026991
yolo_detection,0.026464
yolo_detection,0.026780
yolo_detection,0.026847
yolo_detection,0.027786
yolo_detection,0.027135
yolo_detection,0.026682
yolo_detection,0.026666
yolo_detection,0.027166
yolo_detection,0.027084
yolo_detection,0.024922
yolo_detection,0.026981
yolo_detection,0.027519
yolo_detection,0.027409
yolo_detection,0.027277
yolo_detection,0.027147
yolo_detection,0.026858
yolo_detection,0.027077
yolo_detection,0.027041
yolo_detection,0.027174
yolo_detection,0.027042
yolo_detection,0.024927
yolo_detection,0.027100
yolo_detection,0.027186
yolo_detection,0.026661
yolo_detection,0.027031
yolo_detection,0.026409
yolo_detection,0.027117
yolo_detection,0.027512
yolo_detection,0.026650
yolo_detection,0.026940
yolo_detection,0.026938
yolo_detection,0.026505
yolo_detection,0.026924
yolo_detection,0.026950
yolo_detection,0.026623
yolo_detection,0.026535
yolo_detection,0.026514
yolo_detection,0.026963
yolo_detection,0.026087
yolo_detection,0.024532
yolo_detection,0.026604
yolo_detection,0.025961
yolo_detection,0.026323
yolo_detection,0.026614
yolo_detection,0.026905
yolo_detection,0.026574
yolo_detection,0.026449
yolo_detection,0.026490
yolo_detection,0.026832
yolo_detection,0.026183
yolo_detection,0.026188
yolo_detection,0.026882
yolo_detection,0.025801
yolo_detection,0.026486
yolo_detection,0.026579
yolo_detection,0.025888
yolo_detection,0.025397
yolo_detection,0.026270
yolo_detection,0.026084
yolo_detection,0.025281
yolo_detection,0.025748
yolo_detection,0.025729
yolo_detection,0.025742
yolo_detection,0.025790
yolo_detection,0.025530
yolo_detection,0.024965
yolo_detection,0.025450
yolo_detection,0.025446
yolo_detection,0.025337
yolo_detection,0.025546
yolo_detection,0.025058
yolo_detection,0.025200
yolo_detection,0.025472
yolo_detection,0.024691
yolo_detection,0.024894
yolo_detection,0.025393
yolo_detection,0.024629
yolo_detection,0.022770
yolo_detection,0.025256
yolo_detection,0.023395
yolo_detection,0.025334
yolo_detection,0.024640
yolo_detection,0.025238
yolo_detection,0.024709
yolo_detection,0.024492
yolo_detection,0.022447
yolo_detection,0.022691
yolo_detection,0.023027
yolo_detection,0.024913
yolo_detection,0.023179
yolo_detection,0.023161
yolo_detection,0.023327
yolo_detection,0.023655
yolo_detection,0.023797
yolo_detection,0.026765
yolo_detection,0.025888
yolo_detection,0.022627
yolo_detection,0.025096
yolo_detection,0.025452
yolo_detection,0.024368
yolo_detection,0.024949
yolo_detection,0.025185
yolo_detection,0.022447
yolo_detection,0.022635
yolo_detection,0.022770
yolo_detection,0.023382
yolo_detection,0.023410
yolo_detection,0.023719
yolo_detection,0.023660
yolo_detection,0.023667
yolo_detection,0.023789
